event_idx,event_id,file_name,station_id,sta_dist_km,phase_time_p,phase_time_s,p_polarity,phase_score_p,phase_score_s,noise_amp,p_amp,s_amp,n_channels,snr,sp_ratio,diting_polarity,diting_sharpness,p_from_ncedc,s_from_ncedc
666,1009689,1009689_20221221T024322.mseed,BK.PETL.00.HH,31.17,2022-12-21 02:43:29.100000+00:00,2022-12-21 02:43:34.050000+00:00,,0.6454809904098511,0.91813462972641,24.716163891693657,336.0700133814028,1747.057232126498,3.0,13.597175308193584,5.198491869442034,,,False,False
666,1009689,1009689_20221221T024322.mseed,BK.RBOW.00.HH,27.16,2022-12-21 02:43:28.310000+00:00,2022-12-21 02:43:32.850000+00:00,,0.9574986100196838,0.8747965693473816,23.143030287834804,211.2770976151895,730.4448465880591,3.0,9.129189003665084,3.4572836092175887,,,False,False
666,1009689,1009689_20221221T024322.mseed,NC.KCO..HN,33.54,2022-12-21 02:43:29.433100+00:00,2022-12-21 02:43:34.433100+00:00,,0.9800171852111816,0.6424307227134705,2.276640599500253,4.837220440881724,15.20291942799055,3.0,2.124718518128661,3.1429039907925667,,,False,False
666,1009689,1009689_20221221T024322.mseed,NC.KCT..HH,12.29,2022-12-21 02:43:26.763100+00:00,2022-12-21 02:43:30.433100+00:00,,0.9571253061294556,0.8091004490852356,28.624630159801324,179.45226071528467,729.0997486263058,3.0,6.269155608769975,4.062917601150095,,,False,False
666,1009689,1009689_20221221T024322.mseed,NC.KPR.01.HN,40.71,2022-12-21 02:43:30.490000+00:00,2022-12-21 02:43:36.670000+00:00,,0.8327921032905579,0.8604443073272705,0.9232398063423642,3.2939322952175982,7.927098246091528,3.0,3.5677970908417613,2.4065759510603,,,False,False
666,1009689,1009689_20221221T024322.mseed,NP.1582.10.HN,16.0,2022-12-21 02:43:27.280000+00:00,2022-12-21 02:43:31.620000+00:00,,0.962192714214325,0.7945594191551208,3.8543174155044304,9.038290337464266,58.46766694233252,3.0,2.34497820576653,6.468885680733276,,,False,False
666,1009689,1009689_20221221T024322.mseed,PB.B045..EH,24.78,2022-12-21 02:43:27.998400+00:00,2022-12-21 02:43:32.408400+00:00,,0.9698315858840942,0.6494112014770508,30.168034532550944,303.3566779151008,395.4499976020506,3.0,10.055566516532012,1.303580986975087,,,False,False
666,1009689,1009689_20221221T024322.mseed,PB.B046..EH,26.49,2022-12-21 02:43:28.368400+00:00,2022-12-21 02:43:32.978400+00:00,,0.9823710918426514,0.9084230065345764,18.26175136360017,190.0551852192281,709.1757188911764,3.0,10.407281395696328,3.731419998213384,,,False,False
666,1009689,1009689_20221221T024322.mseed,PB.B047..EH,34.77,2022-12-21 02:43:29.518400+00:00,2022-12-21 02:43:34.818400+00:00,,0.9660114645957948,0.942188024520874,14.50161892204104,79.52503372298011,650.5975213067859,3.0,5.483872811063174,8.181040495664508,,,False,False
666,1009689,1009689_20221221T024322.mseed,PB.B932..EH,31.5,2022-12-21 02:43:28.888400+00:00,2022-12-21 02:43:33.828400+00:00,,0.9533728957176208,0.9380925297737122,19.35604437227845,46.53475665494079,465.3702294595148,3.0,2.404146000077755,10.000487010392575,,,False,False
