origin_time,latitude,longitude,depth,magnitude,event_id,rupture_radius
2022-12-21 02:43:22.224000,40.55824,-124.24112,17.808,1.06,1009689,0.019332
2022-12-24 20:42:53.118000,40.55685,-124.24124,17.784,1.25,1012386,0.024059
2022-12-30 10:20:06.108000,40.55678,-124.24117,17.818,1.08,1013366,0.019783
2023-01-24 22:11:21.134000,40.51864,-124.42186,19.123,1.07,1014841,0.019556
2023-01-25 08:46:15.086000,40.51906,-124.42138,19.136,1.25,1014861,0.024059
2023-02-01 02:38:44.267000,40.51859,-124.42231,19.166,0.83,1015218,0.014835
